Ticker,Price,Change_%,SMA_20,SMA_50,RSI,MACD,Volume,Volume_Avg_20,52W_High,52W_Low,Signal_Count,Signals,Scan_Time
AMD,221.11,1.44,225.0,225.76,38.47,-16.3115,30751200,48109180,267.08,76.48,3,"RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:18:06
AVGO,401.1,2.78,367.84,356.87,71.51,15.3589,30359500,23214925,407.29,137.54,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:07
AMAT,268.16,0.06,242.16,231.29,75.31,10.9485,5337100,8307085,273.59,122.8,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:10
NEE,80.55,-3.1,84.19,82.83,29.07,0.5219,18132500,10267215,86.94,60.35,3,"Golden_Cross, Volume_Surge, From_Low_Rebound",2025-12-09 03:18:13
EVRG,73.34,0.08,75.58,76.16,33.9,-0.2968,1865300,1794270,78.59,57.4,3,"RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:18:21
ULTA,589.3,-2.03,531.95,533.49,74.83,11.996,1745800,836045,611.9,309.01,3,"Volume_Surge, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:24
KBH,62.39,-1.48,61.81,61.79,63.35,1.5609,1013400,796955,78.47,48.27,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:18:25
ALL,200.87,-0.69,208.81,203.36,32.12,3.554,2049900,1626015,214.88,173.06,3,"Golden_Cross, RSI_Normal, RSI_Bounce",2025-12-09 03:18:31
BAC,53.9,-0.09,52.65,51.85,73.44,0.0592,34381900,35205160,54.83,32.53,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:38
WFC,90.06,0.26,85.88,84.47,78.09,0.4972,13267300,13542240,91.11,57.46,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:40
GS,866.69,1.42,806.31,787.95,81.73,13.3761,2236900,2071790,870.56,432.73,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:40
MS,176.83,0.18,166.74,162.34,81.04,2.4673,7270700,5677960,178.96,92.37,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:41
BK,114.44,0.37,110.56,108.48,86.84,1.0093,3061700,3125640,114.99,69.31,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:42
PNC,197.65,-0.11,188.87,187.42,88.31,4.9672,2245200,1846405,206.9,141.09,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:43
USB,51.41,0.29,48.43,47.65,93.42,1.3651,7502700,7531250,51.91,34.43,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:43
COF,230.59,-0.04,216.15,215.55,96.13,2.5877,3397600,4029440,233.04,141.84,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:44
AXP,362.28,-2.18,359.83,350.51,70.4,0.6978,2580500,2534700,377.23,219.32,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:44
SOFI,27.61,-0.61,28.33,28.19,52.37,-0.4724,65211200,74473755,32.73,8.6,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:18:45
VLO,173.56,-0.33,176.65,169.7,45.06,-0.1014,2040400,2742220,184.46,96.76,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:18:49
CNX,40.73,-0.42,38.06,34.96,85.3,1.6744,2047400,1652190,42.13,27.0,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:54
DVN,37.57,0.27,36.15,34.4,71.48,1.4403,8555100,8288550,38.27,25.53,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:54
CAT,596.5,-1.11,569.23,542.44,72.8,7.554,1820400,2410850,607.0,264.29,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:18:55
GE,287.19,1.14,296.38,300.3,39.36,-7.9052,4139700,4218990,316.67,158.62,3,"RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:18:56
MMM,163.96,-2.1,168.65,162.85,47.18,2.0259,3253400,2897315,174.69,120.31,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:18:56
NOC,553.56,0.84,558.84,582.46,44.2,-3.9276,704900,777140,638.31,418.96,3,"RSI_Normal, RSI_Bounce, From_Low_Rebound",2025-12-09 03:18:59
ROK,402.22,-0.51,387.05,366.43,75.17,9.9827,823700,1101985,406.49,212.49,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:05
KO,70.25,0.36,71.07,69.0,50.48,0.9046,17742300,16567340,72.91,58.88,3,"Golden_Cross, RSI_Normal, Near_52W_High",2025-12-09 03:19:06
CL,76.11,-2.51,78.9,78.18,38.77,0.5571,6302900,6139190,98.37,74.55,3,"Golden_Cross, RSI_Normal, RSI_Bounce",2025-12-09 03:19:08
PII,66.67,-1.16,64.46,64.44,64.09,0.6397,695700,834080,74.49,29.73,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:19:11
CPB,30.04,1.49,30.6,30.65,43.25,-0.1935,13024600,6452450,42.36,29.03,3,"RSI_Normal, RSI_Bounce, Volume_Surge",2025-12-09 03:19:12
SJM,100.68,0.57,104.24,104.05,34.96,-1.9185,1414900,1850700,117.94,91.46,3,"Golden_Cross, RSI_Normal, RSI_Bounce",2025-12-09 03:19:13
TJX,153.72,0.29,149.13,144.99,71.46,3.6994,5632800,6277910,154.66,111.06,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:17
MAR,287.82,-1.63,293.55,277.63,55.8,9.0668,1569900,1487290,309.43,203.87,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:19:18
GM,75.71,-0.45,71.76,66.43,87.18,1.9162,10017000,9047595,77.0,41.28,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:22
DAL,67.22,0.18,61.45,59.74,88.46,3.069,9223700,7706425,69.15,34.41,3,"Golden_Cross, Near_52W_High, From_Low_Rebound",2025-12-09 03:19:23
ARE,44.97,-1.12,51.09,63.38,32.68,-1.7665,5997500,3084455,100.81,44.1,3,"RSI_Normal, RSI_Bounce, Volume_Surge",2025-12-09 03:19:29
KRG,22.16,-2.12,22.59,22.34,52.82,0.2435,2175500,1638000,25.73,18.08,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:19:31
CDP,29.21,0.34,29.67,28.87,57.04,0.6404,604600,895865,32.1,23.41,3,"Golden_Cross, RSI_Normal, From_Low_Rebound",2025-12-09 03:19:32
